"digestion.method","Theiler.stage","N","total.protein","sd","se","ci"
"Rapigest","",0,NA,NA,NA,NA
"Rapigest","11-protein mix",4,152.715,15.6073155923753,7.80365779618763,24.8347219211757
"Rapigest","TS13 (E8.5)",6,44.955,19.6215114096748,8.01044848931694,20.5915133819385
"Rapigest","TS15 (E9.5)",8,45.23625,17.6232897346502,6.23077383909323,14.7334389261097
"Rapigest","TS17 (E10.5)",8,459.285,93.0712344697022,32.9056505134648,77.8094992185754
"S-trap","11-protein mix",2,202.758,22.3332605769959,15.792,200.656385193671
"S-trap","TS13 (E8.5)",8,24.915875,36.3524388902293,12.8525280259754,30.3913994644973
"S-trap","TS15 (E9.5)",10,161.3463,69.3078759001377,21.9170747632728,49.5798676633213
"S-trap","TS17 (E10.5)",4,326.30925,185.736810220582,92.8684051102912,295.548712720837
